#图片属性
game_cg	游戏CG
cg	非galgame游戏cg
4koma	四格
cosplay	角色扮演
crossover	穿越，变装
light	亮的
guro	猎奇
photo	照片
landscape	风景
parody	模仿
personification	拟人
absurdres	超高分辨率
wallpaper	壁纸
monochrome	单色图片
sketch	素描
silhouette	剪影
gap	杂志扫图中间留有一条线
screening	扫图
paper_texture	纸张质地
tagme	图片有一些上传者未知的项目
character_design	人物设计
dakimakura	抱枕
disc_cover	唱片封面图片
duplicate	复制
expression	人物表情
profile_page	人设（侧面）
fixed	挂画
stick_poster	海报
index_page	目录页
parody	拙劣的模仿
partial_scan	局部扫描
photoshop	作画工具
transparent_png	透明背景的png图片
vector_trace	矢量图
tutorial	绘画教程
yaoi	BL作品
crease	起皱

#人物类型
witch	女巫
miko	巫女
maid	女仆
waitress	女服务员
bunny_ears/bunny_girl	兔女郎
cheerleader	拉拉队长
yukkuri_shiteitte_ne	油库里
fairy	小精灵
elf	妖精
mermaid	美人鱼
ninja	忍者/日本武士
nun	修女
angel	天使
monster	怪物
vampire	吸血鬼
devil	魔鬼（撒旦）
male	男人
female	女人
kemonomimi_mode	兽耳萝莉模式
kitsune	狐人
chibi	Q版人物
trap/crossdressing	伪娘
shota	正太
loli	萝莉
male	男人
pregnant	孕妇
tagme	参谋长
yuri	百合

#人物形态
animal_ears	动物耳朵
bunny_ears	兔耳
cat_ears/nekomimi	猫耳
dog_ears	狗耳
wings	翅膀/翼
breasts	胸部
midriff	腹部
navel	肚脐
tail	尾巴
heterochromia	异色瞳
feet	足（足控用）
genderswap	性别交换
horns	兽角
cleavage	乳沟
neko	猫
tan_lines	晒日线

#服装风格
lolita_fashion	洛丽塔风格
gothic_lolita	哥特洛丽塔风格
naked/nude	裸体的
naked_apron	裸体围裙
naked_cape	裸体披风
naked_ribbon	裸体丝带
no_bra	无胸罩
topless	上着较少
bottomless	下着较少
skirt_lift	掀起裙子
undressing	脱衣服中
maebari/pasties	关键部位遮盖
open_shirt	敞开衬衫（开的大）
shirt_lift	敞开衬衫（开的小）
panty_pull	内裤拉下来
onsen	温泉
smoking	抽烟
symmetrical_docking	2女胸部贴在一起
underboob	从下往上看女性乳房
wardrobe_malfunction	走光
wet	湿身（有全裸）
wet_clothes	衣服被淋湿

#服装类物品
megane	眼镜
eyepatch	眼罩(独眼)
bell	铃铛
see_through	透明装
cape	披肩/斗篷/披风
robe	长袍
wedding_dress	婚纱
bodysuit	紧身衣
torn_clothes	损坏的衣服
underwear	内衣
lingerie	女性内衣
pajamas	睡衣
sheets	被单
kimono/japanese_clothes	和服
yukata	浴衣
towel	毛巾
chinadress	旗袍
bikini	比基尼
slingbikini	吊索比基尼
bikini_top	比基尼乳罩
swimsuit	泳装
uniform	制服
school_swimsuit	学校泳衣
school_uniform	学校制服
buruma	日本女生运动短裤
seifuku	日本学生服
gym_uniform	运动服
sarashi	缠胸布
bra	胸罩
no_bra	无胸罩的
sarashi	裹胸布
pasties	乳饰
bandaid	创可贴
leotard	紧身连衣裤
dress_shirt	男式白衬衫
summer_dress	夏日长裙
dress	连衣裙
lingerie	女用贴身内衣裤
panties/pantsu	内裤
no_panties/nopan	没内裤
shimapan	条纹内裤
fundoshi	日式丁字裤
thong	丁字裤
string_panties	细带三角裤
stockings	丝袜
pantyhose	连裤袜
fishnet_pantyhosefishnets	渔网袜
garter	吊带袜
overalls	吊带裤
garter_belt	吊袜束腰带
thighhighs	过膝袜
torn_thighhighs	撕裂了的过膝袜
bike_shorts	自行车短裤
bloomers	灯笼裤
business_suit	职场制服
christmas	圣诞节
halloween	万圣节
valentine	情人节

#物品
dakimakura	
sword	刀
gun	枪
sword	剑
cream	奶油
guitar	吉他
armor	装甲
bandages	绷带
calendar	日历
car	卡片
headphones	耳机
mecha	机甲
mecha_musume	机器娘
penguin	企鹅
sake	日本酒
tennis	网球

#和谐类
nipples	乳头
nipple_slip	乳头从上衣滑出来
erect_nipples	竖立的乳头
areola	乳晕
breast_grab	别人抓自己乳房
breast_hold	自己抓自己乳房
paizuri	乳交
bukkake	颜射
thigh_sex	腿交
footjob	足交
masturbation	自慰
handjob	她人用手摸阴茎
fingering	用指摸弄
cum	射精
cunnilingus	舔阴
pussy_juice	爱液
ass/oshiri/butt	屁股
ass_grab	手抓着屁股
buttjob	臀交
anal	爆菊
enema	灌肠
bestiality	人兽
censored	审核过的/有码
uncensored	未审核的/无码
pussy/vulva	阴户/逼
penis	阴茎
dildo	人造阴茎
sex	性爱
fellatio	口交
bathing	洗澡
blood	血
bondage	奴役，束缚
extreme_content	重口味
guro	猎奇
futanari	双性
gangbang	轮奸
lactation	哺乳
pee	撒尿
pubic_hair	阴毛
tentacles	触手
vibrator	振动器
cameltoe	馒头B
